submission_number,snapshot_id,snapshot_row_number,primary_product_code,metadata_match_status
K251096,FDA_AI_LIST_2026-06-29,239,QIH,MATCH_AFTER_DATE_NORMALIZATION
K250660,FDA_AI_LIST_2026-06-29,240,OWB,MATCH_AFTER_DATE_NORMALIZATION
K251169,FDA_AI_LIST_2026-06-29,241,IYN,MATCH_AFTER_DATE_NORMALIZATION
K251766,FDA_AI_LIST_2026-06-29,242,QIH,MATCH_AFTER_DATE_NORMALIZATION
K243884,FDA_AI_LIST_2026-06-29,243,OWB,MATCH_AFTER_DATE_NORMALIZATION
K243679,FDA_AI_LIST_2026-06-29,244,QDQ,MATCH_AFTER_DATE_NORMALIZATION
K251528,FDA_AI_LIST_2026-06-29,245,QIH,MATCH_AFTER_DATE_NORMALIZATION
K250221,FDA_AI_LIST_2026-06-29,246,POK,MATCH_AFTER_DATE_NORMALIZATION
K243779,FDA_AI_LIST_2026-06-29,247,QIH,MATCH_AFTER_DATE_NORMALIZATION
K250096,FDA_AI_LIST_2026-06-29,248,QBC,MATCH_AFTER_DATE_NORMALIZATION
K250484,FDA_AI_LIST_2026-06-29,249,QIH,MATCH_AFTER_DATE_NORMALIZATION
K243647,FDA_AI_LIST_2026-06-29,250,QIH,MATCH_AFTER_DATE_NORMALIZATION
K250670,FDA_AI_LIST_2026-06-29,251,QIH,MATCH_AFTER_DATE_NORMALIZATION
K250984,FDA_AI_LIST_2026-06-29,252,QZB,MATCH_AFTER_DATE_NORMALIZATION
K243144,FDA_AI_LIST_2026-06-29,253,JOY,MATCH_AFTER_DATE_NORMALIZATION
K250268,FDA_AI_LIST_2026-06-29,254,SFE,MATCH_AFTER_DATE_NORMALIZATION
K250877,FDA_AI_LIST_2026-06-29,255,OLO,MATCH_AFTER_DATE_NORMALIZATION
K250151,FDA_AI_LIST_2026-06-29,256,SDJ,MATCH_AFTER_DATE_NORMALIZATION
K250515,FDA_AI_LIST_2026-06-29,257,POS,MATCH_AFTER_DATE_NORMALIZATION
K250886,FDA_AI_LIST_2026-06-29,258,IYN,MATCH_AFTER_DATE_NORMALIZATION
K243253,FDA_AI_LIST_2026-06-29,259,IYN,MATCH_AFTER_DATE_NORMALIZATION
K243672,FDA_AI_LIST_2026-06-29,260,JAK,MATCH_AFTER_DATE_NORMALIZATION
K250440,FDA_AI_LIST_2026-06-29,261,MUJ,MATCH_AFTER_DATE_NORMALIZATION
K250436,FDA_AI_LIST_2026-06-29,262,LNH,MATCH_AFTER_DATE_NORMALIZATION
K250443,FDA_AI_LIST_2026-06-29,263,LNH,MATCH_AFTER_DATE_NORMALIZATION
K250685,FDA_AI_LIST_2026-06-29,264,QAS,MATCH_AFTER_DATE_NORMALIZATION
K240795,FDA_AI_LIST_2026-06-29,265,QDA,MATCH_AFTER_DATE_NORMALIZATION
K243633,FDA_AI_LIST_2026-06-29,266,QIH,MATCH_AFTER_DATE_NORMALIZATION
K243234,FDA_AI_LIST_2026-06-29,267,MYN,MATCH_AFTER_DATE_NORMALIZATION
K251153,FDA_AI_LIST_2026-06-29,268,KPS,MATCH_AFTER_DATE_NORMALIZATION
K250354,FDA_AI_LIST_2026-06-29,269,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251009,FDA_AI_LIST_2026-06-29,270,QIH,MATCH_AFTER_DATE_NORMALIZATION
K242737,FDA_AI_LIST_2026-06-29,271,MWI,MATCH_AFTER_DATE_NORMALIZATION
