bridge_id,annotation_id,subject_submission_number,anchor_document_submission_number,anchor_purpose,source_url,source_record_ids,document_sha256,text_sha256,physical_page,normalized_char_start,normalized_char_end,quote_sha256,normalized_quote_sha256,normalized_quote_characters
BRIDGEec35d562d8e474df,K220043:output,K220043,K220043,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,SRC02066,ba1b41018b8c876de97460a2dcc73aedad4927083b170f7cb4f083735f4d8951,91df2e69627578a2f43982fa46902f6ee19a94c3c99a691022ce7630405f6972,6,1091,1141,93c77d05313443dc648a90aff0dce4907a140b141b1790d5fa177f80a1765ead,93c77d05313443dc648a90aff0dce4907a140b141b1790d5fa177f80a1765ead,50
BRIDGEdfe93cf4e6d979aa,K220043:output,K220043,K220043,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,SRC02066,ba1b41018b8c876de97460a2dcc73aedad4927083b170f7cb4f083735f4d8951,91df2e69627578a2f43982fa46902f6ee19a94c3c99a691022ce7630405f6972,6,1384,1536,b3f20c265723397c4d53f90480b7042ebd8152b7310cc18124141b5119bc8c4b,b3f20c265723397c4d53f90480b7042ebd8152b7310cc18124141b5119bc8c4b,152
BRIDGEc1010c61a79b96b2,K220043:output,K220043,K220043,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,SRC02066,ba1b41018b8c876de97460a2dcc73aedad4927083b170f7cb4f083735f4d8951,91df2e69627578a2f43982fa46902f6ee19a94c3c99a691022ce7630405f6972,6,1539,1704,b8fbad703bac93c5e6aa3f557d404f1c158166e186f01ff06d67b83b4feb127d,b8fbad703bac93c5e6aa3f557d404f1c158166e186f01ff06d67b83b4feb127d,165
BRIDGE8e9fcc186e6fc1cb,K220141:component_status,K220141,K210645,INTERMEDIATE_SOURCE_CHAIN_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,SRC02291,b30d02ffe7adcaf4405462ab6ccd003fa2da516007e9fb32c00a406072d5d332,17d0c35e85098d61c97c191d20a1a83bb32180c68de67f01693b0ed0428d03db,4,930,983,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,53
BRIDGE805e6bbcb268fc13,K220141:component_status,K220141,K210645,INTERMEDIATE_SOURCE_CHAIN_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,SRC02291,b30d02ffe7adcaf4405462ab6ccd003fa2da516007e9fb32c00a406072d5d332,17d0c35e85098d61c97c191d20a1a83bb32180c68de67f01693b0ed0428d03db,5,3481,3570,54a33f317336c60091f03ed0c221ea39075f4aab1a4562c9c6ed2ddb7c14bb34,54a33f317336c60091f03ed0c221ea39075f4aab1a4562c9c6ed2ddb7c14bb34,89
BRIDGEf3b3be62b9d9e0f9,K220141:component_status,K220141,K211867,INTERMEDIATE_SOURCE_CHAIN_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K211867.pdf,SRC02241,381276da0f0fcf94718caa8d7873cf62eb9618cd23b08d8cb21f72f2d9624fb3,186abe47d4f1f3b9e710f0bba1c5678fee6cc200bd4935a6e2c3b15867c64054,6,904,949,87b03479a2f791f21b93936120d56635eb40b5cc1820aa2fe85c58a75fc850e9,87b03479a2f791f21b93936120d56635eb40b5cc1820aa2fe85c58a75fc850e9,45
BRIDGE8315d83179b85778,K220141:component_status,K220141,K211867,INTERMEDIATE_SOURCE_CHAIN_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K211867.pdf,SRC02241,381276da0f0fcf94718caa8d7873cf62eb9618cd23b08d8cb21f72f2d9624fb3,186abe47d4f1f3b9e710f0bba1c5678fee6cc200bd4935a6e2c3b15867c64054,7,1406,1487,8d38cb9a6fb3c859828189ce1b83534371d40eb3b4c2d346c5eb62dad6ced30e,8d38cb9a6fb3c859828189ce1b83534371d40eb3b4c2d346c5eb62dad6ced30e,81
BRIDGEf58ecfb1fb01b59f,K220141:component_status,K220141,K220141,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220141.pdf,SRC02058,0dcf87b4638204cfc12ff377396d322721aedd62a2a98db8d1a7c60eb62eb812,180ad86dd2627f17f4d549c85fc258f1c00e197d28f74c96923a602550a434e8,6,725,770,1b1c481f21011f8f3653880ec56dc00ba53be3d1a57deef053dd8fcff586b304,1b1c481f21011f8f3653880ec56dc00ba53be3d1a57deef053dd8fcff586b304,45
BRIDGE52269a3ddeb798e7,K220141:component_status,K220141,K220141,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220141.pdf,SRC02058,0dcf87b4638204cfc12ff377396d322721aedd62a2a98db8d1a7c60eb62eb812,180ad86dd2627f17f4d549c85fc258f1c00e197d28f74c96923a602550a434e8,7,2126,2207,8d38cb9a6fb3c859828189ce1b83534371d40eb3b4c2d346c5eb62dad6ced30e,8d38cb9a6fb3c859828189ce1b83534371d40eb3b4c2d346c5eb62dad6ced30e,81
BRIDGE705de1760f474405,K220141:input,K220141,K210645,INTERMEDIATE_SOURCE_CHAIN_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,SRC02291,b30d02ffe7adcaf4405462ab6ccd003fa2da516007e9fb32c00a406072d5d332,17d0c35e85098d61c97c191d20a1a83bb32180c68de67f01693b0ed0428d03db,4,930,983,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,53
